Unnamed: 0,Date,State,Confirmed,Deceased,Recovered,State_Name
3118,-9223372036854775808,UT,174,1,60,Uttarakhand
3119,-9223372036854775808,WB,2198,27,1286,West Bengal
3120,-9223372036854775808,AN,1,0,2,Andaman and Nicobar Islands
3121,-9223372036854775808,AP,425,2,131,Andhra Pradesh
3122,-9223372036854775808,AR,0,0,1,Arunachal Pradesh
3123,-9223372036854775808,AS,209,1,206,Assam
3124,-9223372036854775808,BR,100,5,185,Bihar
3125,-9223372036854775808,CH,4,0,0,Chandigarh
3126,-9223372036854775808,CT,82,0,103,Chhattisgarh
3127,-9223372036854775808,DD,0,0,0,Daman and Diu
3128,-9223372036854775808,DL,2877,65,3884,Delhi
3129,-9223372036854775808,DN,4,0,2,Dadra and Nagar Haveli and Daman and Diu
3130,-9223372036854775808,GA,49,0,13,Goa
3131,-9223372036854775808,GJ,510,31,389,Gujarat
3132,-9223372036854775808,HP,10,0,5,Himachal Pradesh
3133,-9223372036854775808,HR,386,4,604,Haryana
3134,-9223372036854775808,JH,23,1,47,Jharkhand
3135,-9223372036854775808,JK,149,7,230,Jammu and Kashmir
3136,-9223372036854775808,KA,210,12,176,Karnataka
3137,-9223372036854775808,KL,97,1,89,Kerala
3138,-9223372036854775808,LA,0,0,3,Ladakh
3139,-9223372036854775808,LD,0,0,0,Lakshadweep
3140,-9223372036854775808,MH,3752,100,1672,Maharashtra
3141,-9223372036854775808,ML,0,0,1,Meghalaya
3142,-9223372036854775808,MN,54,0,7,Manipur
3143,-9223372036854775808,MP,182,4,244,Madhya Pradesh
3144,-9223372036854775808,MZ,9,0,0,Mizoram
3145,-9223372036854775808,NL,0,0,6,Nagaland
3146,-9223372036854775808,OR,174,0,97,Odisha
3147,-9223372036854775808,PB,118,5,32,Punjab
3148,-9223372036854775808,PY,26,1,7,Puducherry
3149,-9223372036854775808,RJ,315,17,275,Rajasthan
3150,-9223372036854775808,SK,0,0,1,Sikkim
3151,-9223372036854775808,TG,352,3,230,Telangana
3152,-9223372036854775808,TN,2141,49,1017,Tamil Nadu
3153,-9223372036854775808,TR,21,0,83,Tripura
3154,-9223372036854775808,TT,13829,343,10741,Total
3155,-9223372036854775808,UN,430,0,0,State Unassigned
