Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
-9223372036854775808,424,2059,19,169,6,53
-9223372036854775808,486,2545,22,191,16,69
-9223372036854775808,560,3105,39,230,14,83
-9223372036854775808,579,3684,56,286,13,96
-9223372036854775808,609,4293,43,329,22,118
-9223372036854775808,484,4777,65,394,16,134
-9223372036854775808,573,5350,75,469,27,161
-9223372036854775808,565,5915,96,565,20,181
-9223372036854775808,813,6728,70,635,46,227
-9223372036854775808,871,7599,151,786,22,249
-9223372036854775808,854,8453,186,972,41,290
-9223372036854775808,758,9211,114,1086,42,332
-9223372036854775808,1243,10454,112,1198,27,359
-9223372036854775808,1031,11485,167,1365,37,396
-9223372036854775808,886,12371,144,1509,27,423
-9223372036854775808,1061,13432,258,1767,26,449
-9223372036854775808,922,14354,273,2040,38,487
-9223372036854775808,1371,15725,426,2466,35,522
-9223372036854775808,1580,17305,388,2854,38,560
-9223372036854775808,1239,18544,419,3273,33,593
-9223372036854775808,1537,20081,703,3976,53,646
-9223372036854775808,1292,21373,394,4370,36,682
-9223372036854775808,1667,23040,642,5012,40,722
-9223372036854775808,1408,24448,484,5496,59,781
-9223372036854775808,1835,26283,442,5938,44,825
-9223372036854775808,1607,27890,585,6523,56,881
-9223372036854775808,1568,29458,580,7103,58,939
-9223372036854775808,1902,31360,636,7739,69,1008
-9223372036854775808,1705,33065,690,8429,71,1079
-9223372036854775808,1801,34866,630,9059,75,1154
-9223372036854775808,2396,37262,962,10021,77,1231
-9223372036854775808,2564,39826,831,10852,92,1323
-9223372036854775808,2952,42778,911,11763,140,1463
-9223372036854775808,3656,46434,1082,12845,103,1566
-9223372036854775808,2971,49405,1295,14140,128,1694
-9223372036854775808,3602,53007,1161,15301,91,1785
-9223372036854775808,3344,56351,1475,16776,104,1889
-9223372036854775808,3339,59690,1111,17887,97,1986
-9223372036854775808,3175,62865,1414,19301,115,2101
-9223372036854775808,4311,67176,1669,20970,112,2213
-9223372036854775808,3592,70768,1579,22549,81,2294
-9223372036854775808,3562,74330,1905,24454,120,2414
-9223372036854775808,3726,78056,1963,26417,137,2551
-9223372036854775808,3991,82047,1594,28011,97,2648
-9223372036854775808,3808,85855,2234,30245,104,2752
-9223372036854775808,4794,90649,4012,34257,120,2872
-9223372036854775808,5049,95698,2538,36795,152,3024
-9223372036854775808,4628,100326,2482,39277,131,3155
-9223372036854775808,6154,106480,3032,42309,146,3301
-9223372036854775808,5720,112200,3113,45422,134,3435
-9223372036854775808,6023,118223,3131,48553,148,3583
-9223372036854775808,6536,124759,3280,51833,142,3725
-9223372036854775808,6667,131424,2576,54409,142,3867
-9223372036854775808,7111,138537,3285,57694,156,4023
-9223372036854775808,6414,144951,3012,60706,150,4173
-9223372036854775808,5907,150858,3585,64291,173,4346
-9223372036854775808,7246,158104,3434,67725,188,4534
-9223372036854775808,7254,165358,3171,70896,176,4710
-9223372036854775808,8138,173496,11735,82631,269,4979
-9223372036854775808,8364,181860,4303,86934,205,5184
-9223372036854775808,8789,190649,4928,91862,222,5406
-9223372036854775808,7723,198372,3882,95744,201,5607
-9223372036854775808,8812,207187,4531,100275,222,5829
-9223372036854775808,9689,216876,3789,104064,259,6088
-9223372036854775808,9847,226723,4390,108454,274,6362
-9223372036854775808,9472,236195,4770,113224,286,6648
-9223372036854775808,10408,246603,5433,118657,297,6945
-9223372036854775808,10882,257485,5191,123848,261,7206
-9223372036854775808,8536,266021,5171,129019,271,7477
-9223372036854775808,9981,276002,5634,134653,272,7749
-9223372036854775808,11156,287158,6275,140928,358,8107
-9223372036854775808,11135,298293,6044,146972,394,8501
-9223372036854775808,11306,309599,7263,154235,388,8889
-9223372036854775808,12039,321638,8092,162327,309,9198
-9223372036854775808,11405,333043,7358,169685,324,9522
-9223372036854775808,10032,343075,10639,180324,396,9918
-9223372036854775808,11086,354161,7226,187550,2004,11922
-9223372036854775808,13108,367269,6890,194440,341,12263
-9223372036854775808,13829,381098,10741,205181,343,12606
-9223372036854775808,14740,395838,9029,214210,364,12970
-9223372036854775808,15918,411753,13974,228184,308,13278
-9223372036854775808,15151,426904,9075,237259,426,13704
-9223372036854775808,13560,440464,10879,248138,312,14016
-9223372036854775808,15656,456120,10462,258600,468,14484
-9223372036854775808,16868,472988,13089,271689,424,14908
-9223372036854775808,18205,491193,13983,285672,401,15309
-9223372036854775808,18255,509448,10246,295918,381,15690
-9223372036854775808,20142,529590,14229,310147,414,16104
-9223372036854775808,19610,549200,11631,321778,384,16488
